Fatec,Ano,Semestre,Curso,Periodo,Inscritos,Vagas,Demanda
Fatec Mauá,2022,1,Informática Para Negócios,Noite,167,40,4.18
Fatec Mauá,2022,1,Logística,Manhã,130,40,3.25
Fatec Mauá,2022,1,Logística,Noite,305,40,7.63
Fatec Mauá,2022,1,Polímeros,Noite,92,40,2.30
Fatec Mauá,2022,2,Desenvolvimento De Software Multiplataforma,Noite,309,40,7.73
Fatec Mauá,2022,2,Fabricação Mecânica,Manhã,54,40,1.35
Fatec Mauá,2022,2,Fabricação Mecânica,Noite,113,40,2.83
Fatec Mauá,2022,2,Gestão Empresarial,Ead,159,20,7.95
Fatec Mauá,2022,2,Informática Para Negócios,Manhã,57,40,1.43
Fatec Mauá,2022,2,Informática Para Negócios,Noite,103,40,2.58
Fatec Mauá,2022,2,Logística,Manhã,61,40,1.53
Fatec Mauá,2022,2,Logística,Noite,186,40,4.65
Fatec Mauá,2022,2,Polímeros,Noite,66,40,1.65
Fatec Mauá,2023,1,Desenvolvimento De Software Multiplataforma,Noite,314,40,7.85
Fatec Mauá,2023,1,Fabricação Mecânica,Manhã,44,40,1.10
Fatec Mauá,2023,1,Fabricação Mecânica,Noite,101,40,2.53
Fatec Mauá,2023,1,Gestão Empresarial,Ead,141,40,3.53
Fatec Mauá,2023,1,Informática Para Negócios,Manhã,68,40,1.70
Fatec Mauá,2023,1,Informática Para Negócios,Noite,123,40,3.08
Fatec Mauá,2023,1,Logística,Manhã,49,40,1.23
Fatec Mauá,2023,1,Logística,Noite,148,40,3.70
Fatec Mauá,2023,1,Polímeros,Noite,54,40,1.35
Fatec Mauá,2023,2,Desenvolvimento De Software Multiplataforma,Noite,281,40,7.03
Fatec Mauá,2023,2,Fabricação Mecânica,Manhã,52,40,1.30
Fatec Mauá,2023,2,Fabricação Mecânica,Noite,96,40,2.40
Fatec Mauá,2023,2,Gestão Empresarial,Ead,173,40,4.33
Fatec Mauá,2023,2,Informática Para Negócios,Manhã,60,40,1.50
Fatec Mauá,2023,2,Informática Para Negócios,Noite,96,40,2.40
Fatec Mauá,2023,2,Logística,Manhã,67,40,1.68
Fatec Mauá,2023,2,Logística,Noite,152,40,3.80
Fatec Mauá,2023,2,Polímeros,Noite,61,40,1.53
Fatec Mauá,2024,1,Desenvolvimento De Software Multiplataforma,Noite,439,36,12.19
Fatec Mauá,2024,1,Fabricação Mecânica,Manhã,39,20,1.95
Fatec Mauá,2024,1,Fabricação Mecânica,Noite,113,28,4.04
Fatec Mauá,2024,1,Gestão Empresarial,Ead,185,40,4.63
Fatec Mauá,2024,1,Informática Para Negócios,Manhã,52,28,1.86
Fatec Mauá,2024,1,Informática Para Negócios,Noite,115,36,3.19
Fatec Mauá,2024,1,Logística,Manhã,56,20,2.80
Fatec Mauá,2024,1,Logística,Noite,190,36,5.28
Fatec Mauá,2024,1,Polímeros,Noite,68,20,3.40
Fatec Mauá,2024,2,Desenvolvimento De Software Multiplataforma,Noite,265,35,7.57
Fatec Mauá,2024,2,Fabricação Mecânica,Manhã,48,24,2.00
Fatec Mauá,2024,2,Fabricação Mecânica,Noite,94,28,3.36
Fatec Mauá,2024,2,Gestão Empresarial,Ead,170,40,4.25
Fatec Mauá,2024,2,Informática Para Negócios,Manhã,42,24,1.75
Fatec Mauá,2024,2,Informática Para Negócios,Noite,93,28,3.32
Fatec Mauá,2024,2,Logística,Manhã,44,28,1.57
Fatec Mauá,2024,2,Logística,Noite,110,35,3.14
Fatec Mauá,2024,2,Polímeros,Noite,53,24,2.21
Fatec Mauá,2025,1,Desenvolvimento De Software Multiplataforma,Noturno,282,34,8.29
Fatec Mauá,2025,1,Fabricação Mecânica,Matutino,35,24,1.46
Fatec Mauá,2025,1,Fabricação Mecânica,Noturno,97,34,2.85
Fatec Mauá,2025,1,Gestão Empresarial,Ead,151,40,3.78
Fatec Mauá,2025,1,Informática Para Negócios,Matutino,42,24,1.75
Fatec Mauá,2025,1,Informática Para Negócios,Noturno,105,34,3.09
Fatec Mauá,2025,1,Logística,Matutino,39,24,1.63
Fatec Mauá,2025,1,Logística,Noturno,120,34,3.53
Fatec Mauá,2025,1,Polímeros,Noturno,42,34,1.24
